years_practice,school,name,title,graduate_year,specialties,insurance
9 Years,University of San Diego,Guenette Du Ville,"LMFT,MA,, ,Marriage & Family Therapist",2006,"Anxiety,Relationship Issues,Gay","Cigna,Optum,UnitedHealthcare,Out of Network"
,Saint Mary's University,Laurie Wevers,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Trauma and PTSD,Spirituality,Sexual Abuse",
5 Years,San Diego State University,Kiefer Rich,"LMFT,MS,, ,Marriage & Family Therapist",2008,"Mood Disorders,Family Conflict,Gay","Aetna,Health Net,MHN,Medi-Cal,Medicaid,TERM,Out of Network"
20+ Years,University of San Diego,Lorna Hecht,"MFT,MA,, ,Marriage & Family Therapist",1995,"Marital and Premarital,Family Conflict,Anxiety","Aetna,American Behavioral,Anthem,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Optum,TRICARE"
6 Years,,Ashley Adams,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Addiction,Relationship Issues,Family Conflict",
10+ Years,University of Phoenix,Lydia (Jamie) Shorthill,"LMFT,MA,, ,Marriage & Family Therapist",2000,"Child or Adolescent,Mood Disorders,ADHD","Cigna,TRICARE,Out of Network"
16 Years,University of Santa Monica,Stephanie Evans,"CDWF,LMFT,MA,, ,Marriage & Family Therapist",2000,"Anxiety,Depression,Addiction",
11 Years,CA School of Professional Psychology,Paul Paris,"Psychologist,, ,PhD",2013,"Depression,Anxiety,Mood Disorders","CA Victim Compensation Program,Cigna,GEHA,MHN,Out-of-network TRICARE,Veterans Choice Program"
20+ Years,Alliant International University,Holly Avriette,"Psychologist,, ,PhD",1989,"Relationship Issues,Bipolar Disorder,Grief","Aetna,Beech Street,BlueCross and BlueShield,Cigna,Humana,Magellan Behavioral Health,PHCS,PacifiCare,TRICARE,TriWest,Out of Network"
9 Years,California School of Professional Psychology,Deborah Abblitt Wagner,"LMFT,MA,, ,Marriage & Family Therapist",2008,"Depression,Anxiety,Women's Issues","Anthem,Molina,TRICARE,TriWest"
10+ Years,Capella University,Rebecca Kyungah Gill,"LPCC,Counselor,RAS,, ,PhD",2011,"Addiction,Depression,Relationship Issues","Anthem,BlueCross and BlueShield,Cigna,TRICARE"
4 Years,Alliant International University,Allison V Brownlee,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Depression,Anxiety,Addiction","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Out of Network"
4 Years,Seattle Pacific University,Benjamin I Felleman,"Psychologist,MS,, ,PhD",2015,"Cancer & Other Medical Conditions,Depression,Anxiety","Blue Shield,MHN,MHNet Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
,,Joseph Edwards,"LMFT,, ,Marriage & Family Therapist",,"Psychosis,Mood Disorders,Child or Adolescent",
10+ Years,California Baptist University,Contessa Strother,"LPCC,MFT,MS,, ,Marriage & Family Therapist",,"Marital and Premarital,Relationship Issues,Life Transitions",Out of Network
10+ Years,Alliant International University,Baya L Mebarek,"PsyD,LMFT,, ,Marriage & Family Therapist",2005,"Relationship Issues,Depression,Anxiety","TRICARE,TriWest"
,,Seda Gragossian,"Psychologist,, ,PhD",,"Addiction,Alcohol Abuse,Drug Abuse","TriWest,Out of Network"
,San DIego State University,Sally Peterson,"LCSW,Clinical Social Work/Therapist,, ",1998,"Women's Issues,Trauma and PTSD,Life Transitions",Out of Network
,,Jaclyn Offner,"LMFT,MA,, ,Marriage & Family Therapist",,,
9 Years,Alliant International University,Blumberg Family Therapy Group Inc,"LMFT,MA,RPT,, ,Marriage & Family Therapist",2009,"Anxiety,Relationship Issues,Family Conflict","Aetna,Anthem,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Out of Network"
6 Years,Alliant International University,Yvette Currie,"LMFT,, ,Marriage & Family Therapist",2003,"Trauma and PTSD,Spirituality,Relationship Issues","Aetna,BlueCross and BlueShield,MHN,Out of Network"
5 Years,Pepperdine University,Hanaa Eldereiny,"CPDPE,LMFT,MA,, ,Marriage & Family Therapist",2010,"Relationship Issues,Parenting,Coping Skills",
30+ Years,San Diego State University,Fran L Santella,"LMFT,, ,Marriage & Family Therapist",1978,"Family Conflict,Anxiety,Depression","Aetna,American Behavioral,Anthem,Blue Shield,BlueCross and BlueShield,Cigna,Coventry,Coventry First Health,First Health,Health Net,Humana,Integrated Health Plan,LifeSynch,MHNet Behavioral Health,MINES,Magellan Behavioral Health,Molina,Optum,PacifiCare,UnitedHealthcare"
10 Years,National University,Tina Mears Lmft,"MA,, ,Marriage & Family Therapist",2005,"Self Esteem,Trauma and PTSD,Relationship Issues","BlueCross and BlueShield,Health Net,MHN,Magellan Behavioral Health,TRICARE,Out of Network"
15+ Years,University Of Southern California,Dr. Amy Greaves,"Psychologist,, ,PhD",,"Marital and Premarital,Obsessive-Compulsive (OCD),Depression","Most PPOs will reimburse for my services,Out of Network"
9 Years,University of Southern California,Archana Jajodia,"Psychologist,, ,PhD",2007,"Depression,Anxiety,Trauma and PTSD","Aetna,Anthem,Health Net,MHN,MHNet Behavioral Health,Multiplan,TRICARE,UCSD SHIP (Student Health Insurance Plan),Out of Network"
20+ Years,Pacific Graduate School of Psychology,Kristee Anne Beres,"Psychologist,, ,PhD",1994,"Child or Adolescent,Mood Disorders,Parenting","Blue Shield,Cigna,Health Net,MHN,Optum,TRICARE"
10+ Years,University of Phoenix,Cynthia Chistiansen,"MFT,, ,Marriage & Family Therapist",2001,,
10+ Years,,Therapy Changes,"PsyD,Psychologist,, ,PhD",,"Anxiety,Depression,Grief","Aetna,Anthem,Blue Cross,California Victim Compensation Program,Cigna,GEHA,MHN,TRICARE,TriWest,UCSD Student Insurance,USD Student Insurance,Veterans Choice Program"
30+ Years,California School of Professional Psychology,Richard B. Dicker,"Psychologist,, ,PhD",1983,"Anxiety,Family Conflict,Divorce","Aetna,Beacon,Blue Shield,Health Net,Humana,MHN,Magellan Behavioral Health,Medicare,Molina,Optum,ValueOptions,Out of Network"
20+ Years,University of Minnesota School of Social Work,Dana Terrell,"LCSW,Clinical Social Work/Therapist,EAC,, ",1980,"Anxiety,Chronic Pain,Trauma and PTSD",
5 Years,San Diego State University,Michael Nelson Therapy,"Marriage & Family Therapist Intern, ,MFTi,, ,MS",2013,"Relationship Issues,Family Conflict,Anxiety",
10+ Years,San Diego State University,Rosemarie Campos Sachs,"MINT,MFT,, ,Marriage & Family Therapist",2003,"Trauma and PTSD,Mood Disorders,Child or Adolescent","TRICARE,Out of Network"
10+ Years,Alliant International University,Bobbie Jean Schorr,"PsyD,LMFT,, ,Marriage & Family Therapist",2007,"Relationship Issues,Trauma and PTSD,Life Coaching","Aetna,Anthem,Anthem EAP,BlueCross and BlueShield,Cigna,EAP Consultants,Health Net,MHN,Military OneSource,TRICARE,TriWest,ValueOptions,Out of Network"
10+ Years,Santa Clara University,Melody Donboli,"MFT,MA,, ,Marriage & Family Therapist",2008,"Psychosis,Depression,Anxiety",Out of Network
20+ Years,National University,Perla Bransburg,"LMFT,MA,, ,Marriage & Family Therapist",2003,"Relationship Issues,Trauma and PTSD,Family Conflict","Aetna,Anthem,BlueCross and BlueShield,Coventry,Empire BlueCross,First Health,MHN,Magellan Behavioral Health,Multiplan,ValueOptions,Out of Network"
20+ Years,Professional School of Psychological Studies,Richard Alan Sobel,"Psychologist,, ,PhD",1987,"Relationship Issues,Depression,Anxiety","Aetna,BlueCross and BlueShield,Cigna,Medicaid,Medicare,TRICARE"
8 Years,California School of Professional Psychology,Kim Ajlouny,"PsyD,Psychologist,, ",2007,"Eating Disorders,Trauma and PTSD,Relationship Issues","Health Net,I can provide Super Bills for most PPO plans,MHN,Medicare,Out of Network"
10 Years,Northeastern Illinois University,Riley Cormack,"LPCC,Counselor,MA,, ",2004,"Relationship Issues,Gay,Life Coaching","Cigna,Out of Network"
,,Ashley Cox,"LMFT,MA,, ,Marriage & Family Therapist",,"Child or Adolescent,Self Esteem,Parenting",Out of Network
10+ Years,SDUIS,Magdalena Beneitez LMFT,"LMFT,MA,, ,Marriage & Family Therapist",2003,"Depression,Anxiety,Domestic Violence",
,,Brian Reiswig,"MA,, ,EFT,EMDR,MFT,Marriage & Family Therapist Intern, ",,"Marital and Premarital,Addiction,Trauma and PTSD",Out of Network
10+ Years,Loma Linda University,Candice April Ruttner-Duryea,"EMDR,LMFT,MS,, ,Marriage & Family Therapist",2004,"Eating Disorders,Trauma and PTSD,Child or Adolescent","Victim Witness,Victims of Crime,Out of Network"
10 Years,,Diana Neuner,"LMFT,MS,, ,Marriage & Family Therapist",,"Trauma and PTSD,Anxiety,Grief","Blue Shield,California Victim Compensation,Ceridian,HSA/FSA,Multiplan,PPO / Superbill,TERM/Child Welfare Services,Out of Network"
10+ Years,Antioch University Los Angeles,Affordable San Diego Therapist,"MFT,MA,, ,Marriage & Family Therapist",1998,"Relationship Issues,Anxiety,Gay","Aetna,BlueCross and BlueShield,Horizon Healthcare,I will provide a superbill for your Insurance Comp,TRICARE,TriWest,ValueOptions,Out of Network"
15+ Years,,Marjan Davoudi,"PsyD,Psychologist,, ",,"Relationship Issues,Depression,Anxiety","Aetna,Anthem,Beech Street,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Great-West Life,Magellan Behavioral Health,Medicare,Optum,Reserrection Health Care,Ressurection Health,TRICARE,TriWest,Out of Network"
,,Maria: Horta,Marriage & Family Therapist,,"Depression,Anxiety,Trauma and PTSD","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Verification,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
7 Years,National University,Rita R Cole,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Relationship Issues,Depression,Pregnancy, Prenatal, Postpartum",Out of Network
20+ Years,SDSU,"Brynn Spiegel, MFT","MFT,, ,Marriage & Family Therapist",1986,"Relationship Issues,Anxiety,Trauma and PTSD",
30+ Years,U.S. International University,Marilyn S Freeman,"PhD,MFT,, ,Marriage & Family Therapist",1978,"Mood Disorders,Relationship Issues,Coping Skills","BlueCross and BlueShield,MHN,Magellan Behavioral Health,Multiplan,Out of Network"
20+ Years,University of Miami,Charles R Freeman,"Psychologist,, ,PhD",1999,"Sleep or Insomnia,Anxiety,Trauma and PTSD","Aetna,MHN,Multiplan,PPO: sometimes PPOs pay 70-80% of my standard rate,Out of Network"
20+ Years,Rosemead School of Psychology,Corinne Heinzelmann,"Psy, ,Psychologist,D,, ",1995,"Women's Issues,Depression,Trauma and PTSD",
,,"Michael A Jones, LCSW","LCSW,Clinical Social Work/Therapist,, ",,"Adoption,Trauma and PTSD,Parenting","Aetna,Behavioral Health Systems,Blue Shield,Ceridian,ComPsych,Corphealth,Coventry,Humana,LifeSynch,MHN,Magellan Behavioral Health,Multiplan,TRICARE,TriWest,Out of Network"
10 Years,"UI&U, NCP",Center For Educational Therapy,"Marriage & Family Therapist Intern, ,ET,MA,, ",2012,"Asperger's Syndrome,ADHD,Anxiety",
10+ Years,Alliant International University,Taeko Uchino-Dicarlo,"PsyD,Psychologist,, ",2007,"Depression,Trauma and PTSD,Anxiety","TRICARE,TriWest"
2 Years,USC,Ruth Juarez,"MSW,Associate Clinical Social Worker, ,ASW,, ",2015,"Depression,Anxiety,Relationship Issues",
20+ Years,United States International University,Diane A Carlson,"MFT,PSYD, ,, ,Marriage & Family Therapist",1994,"Relationship Issues,Depression,Grief",Out of Network
7 Years,University of San Francisco,Echo Gaffney,"MA,, ,Marriage & Family Therapist",2010,"Relationship Issues,Trauma and PTSD,Substance Abuse","Cigna,Out of Network"
10 Years,California School of Professional Psychology,Matthew Weisskopf,"Psychologist,, ,PhD",2004,"Depression,Anxiety,Chronic Pain","APS Healthcare,BlueCross and BlueShield,ComPsych,Community Health Group-CommuniCare Advantage,Coventry,First Health,Integrated Health Plan,Interplan,MHN,Magellan Behavioral Health,Medi-Cal,Multiplan,TRICARE,TriWest,Out of Network"
20+ Years,USIU San Diego,Carolyn E Berger,"Psychologist,, ,PhD",1984,"Mood Disorders,Substance Abuse,Relationship Issues","Coventry,Medicaid,Medicare"
30+ Years,U.S.I.U,Dorian L. Polson,"Psychologist,, ,PhD",1981,"Relationship Issues,Depression,Anxiety","Aetna,Anthem,Blue Cross,Medicare,Out of Network"
10+ Years,Pacifica Graduate Institute,Kelly Sullivan,"LMFT,MA,, ,Marriage & Family Therapist",2005,"Anxiety,Depression,Life Coaching","Any PPO,California Victims Compensation,TRICARE,TriWest,Out of Network"
8 Years,Dominican University,Inga-Britt Ostrom,"LMFT,MS,, ,Marriage & Family Therapist",2002,"Relationship Issues,Substance Abuse,Depression","Aetna,BlueCross and BlueShield,Ceridian,Health Net,Holman Group,Life Sync,MHN,TRICARE,TriWest,Out of Network"
10+ Years,California School of Professional Psychology,Jocelyn Steer,"Psychologist,, ,PhD",1996,"Depression,Relationship Issues,Anxiety","APS Healthcare,Aetna,Blue Shield Federal Employee Plan,TRICARE,TriWest,Out of Network"
20+ Years,San Diego State University,Joyce B Lilya,"LCSW,Clinical Social Work/Therapist,, ",1988,"Depression,Trauma and PTSD,Relationship Issues","In network with nearly all major carriers,Will submit insurance billing"
30+ Years,"University of California, Berkeley",Marjorie Milstein,"LCSW,Clinical Social Work/Therapist,, ",1976,,"First Health,Most all PPO health insurance plans.,Out of Network"
4 Years,National University MAC,Lori Sherer,"CATC-IV,LMFT,, ,Marriage & Family Therapist",2008,"Addiction,Relationship Issues,Trauma and PTSD","APS Healthcare,Aetna,Allegiance,Anthem,Behavioral Health Systems,Blue Shield,BlueCross and BlueShield,Business Health Services,Ceridian,Cigna,Empire BlueCross,HMC HealthWorks,Health Net,LifeSynch,MHN,Magellan Behavioral Health,Military OneSource,PHCS,TriWest,UniCare,ValueOptions,Out of Network"
10+ Years,Humboldt State University,Kristin K Singh,"LEP,Educational Psychologist, ,MA,, ",2003,"Testing and Evaluation,School Issues,Learning Disabilities",
5 Years,Alliant International University,Farnaz Khoromi,"PsyD,Psychologist,LP,, ",2006,"Anxiety,ADHD,Career Counseling",
5 Years,Alliant International University,Jennifer Konzen,", ,LMFT,CCDC,Marriage & Family Therapist,PsyD,CST",2014,"Sex Therapy,Relationship Issues,Family Conflict",Out of Network
4 Years,University of Phoenix,Brenna McColm,"Marriage & Family Therapist Intern, ,MFTI,, ,MS",2011,"Relationship Issues,Sex Therapy,Grief",
10 Years,,Kerry Butler,"LMFT,MA,, ,Marriage & Family Therapist",,"Relationship Issues,Parenting,Grief","Coventry,Health Net,TRICARE,TriWest,ValueOptions,Out of Network"
,,Juan Calderon-Aguirre,"MSSA,LCSW,Clinical Social Work/Therapist,, ",,"Marital and Premarital,Depression,Trauma and PTSD","Aetna-Pending (early June 2017),Cigna,Magellan Behavioral Health"
10+ Years,CalifoRnia School of Professional Psychology,Paula Waisman,"Psychologist,, ,PhD",2005,"Child or Adolescent,ADHD,Parenting","Only AETNA,Out of Network"
,,Valerie Holcomb,"Marriage & Family Therapist Intern, ,MFTI",,"Parenting,Depression,Anger Management",
3 Years,,Therapeutic Center for Anxiety and Trauma,"MA,, ,LMFT",,"Anxiety,Trauma and PTSD,Relationship Issues","Cigna,Optum,PLEASE INFORM US UPFRONT IF USING INSURANCE,UnitedHealthcare"
6 Years,California School of Professional Psychology,Lindsay Boyce,"MA,Pre-Licensed Professional,, ",2008,"Life Transitions,Stress,Relationship Issues",
3 Years,Arizona State University,S. Gupta,"Psychologist,, ,PhD",2008,"Testing and Evaluation,Anxiety,Depression","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,CareFirst,Ceridian,Cigna,Community Health Group,Coventry,First Health,Health Net,Humana,LifeSynch,MHN,Magellan,Magellan Behavioral Health,Medicare,Molina,TRICARE,TriWest,Tricare,Out of Network"
23 Years,University of San Diego,Jessica Hancock Fodor,"LPCC,LMFT,, ,Marriage & Family Therapist",1995,"Relationship Issues,Child or Adolescent,Addiction","Aetna,Beacon,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Military OneSource,ValueOptions,Out of Network"
,,Jennilyn Chen,"Marriage & Family Therapist Intern, ,MA",,,Out of Network
20+ Years,State University of New York,Matt Burgan,"Clinical Social Work/Therapist,, ,LMFT",1976,"Depression,Child or Adolescent,Relationship Issues","Aetna,Beech Street,BlueCross and BlueShield,Cigna,ComPsych,Community Health Group,First Choice Health,Horizon Healthcare,Interplan,MHN,Magellan Behavioral Health,Medicare,One Health,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Universal Care,ValueOptions,Out of Network"
20+ Years,,"Cheryll Putt, LMFT","LMFT,, ,Marriage & Family Therapist",1996,"Trauma and PTSD,Sexual Abuse,Anxiety","Client Self Pay,PPO Plans,Please call to determine plan eligibility,Out of Network"
20+ Years,New York University,Tracy Hughes,"LCSW,Clinical Social Work/Therapist,, ",1989,"Relationship Issues,Emotional Disturbance,Self Esteem","ACI Specialty Benefits,Blue Care Network,Blue Shield,BlueCross and BlueShield,Magellan Behavioral Health,Medicare,TRICARE,Out of Network"
9 Years,Pacifica Graduate Institute,"DeeDee Just, MA, MFT","MFT,MA,, ,Marriage & Family Therapist",2006,"Grief,Chronic Pain,Relationship Issues","Accept HSA cards,for many PPO plans.,Out of Network"
10+ Years,Fielding Graduate University,Naomi Wahler,"Psychologist,, ,PhD",2013,"Addiction,Child or Adolescent,Anxiety","Cigna,MHN,Out of Network"
,,Danielle D Weisman,"PsyD,Psychologist,, ",,"Sleep or Insomnia,Grief,Alcohol Abuse","Out of network for TRICARE,TriWest,Out of Network"
10+ Years,,Rene Williamson,"LMFT,, ,Marriage & Family Therapist",,"Child or Adolescent,Addiction,Relationship Issues","Aetna,BlueCross and BlueShield,CCN,Corphealth,Coventry,First Choice Health,First Health,Health Net,Horizon Healthcare,MHN,PacifiCare,UnitedHealthcare"
10+ Years,San Diego State University,Maria L Brockman,"LMFT,MS,, ,Marriage & Family Therapist",2005,"Depression,Anxiety,Relationship Issues","MHN,PPO,TriWest,Out of Network"
4 Years,San Diego State University,Michelle Goodrie Evans,"MEd,LMFT,MS,, ,Marriage & Family Therapist",2013,"Relationship Issues,Self Esteem,Emotional Disturbance",
4 Years,University of Phoenix,Dianna Gonzalez,"Marriage & Family Therapist Intern, ,MA",2014,"Domestic Violence,Trauma and PTSD,Child or Adolescent",VICTIMS OF CRIME PROGRAM
2 Years,Bethel Seminary,Scott Wood,"MA,MBA,, ,Marriage & Family Therapist",2011,"Relationship Issues,Sexual Addiction,Trauma and PTSD",
,"University of Nevada, Las Vegas",Mackenzie Clark,"Marriage & Family Therapist Intern, ,MFTI,, ,MS",,"Relationship Issues,Anxiety,Self Esteem",
7 Years,LA County + USC,Sandy Hah,"MD,, ,Psychiatrist",2010,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Empire BlueCross,Magellan Behavioral Health,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
7 Years,Baylor College of Medicine,"Karen S. Brown, M.D.","MD,, ,Psychiatrist",2006,"Medication Management,Trauma and PTSD,Depression",
7 Years,Alliant International University/CSPP,Stephen M White,"PsyD,Psychologist,, ",2003,"Mood Disorders,Trauma and PTSD,Gay","BlueCross and BlueShield,Cigna,Health Net,MHN,Medi-Medi,Medicare,TRICARE,TriWest,Out of Network"
30+ Years,Fordham University,Penelope Young Andrade,"MSW,LCSW,Clinical Social Work/Therapist,, ",1971,"Emotional Disturbance,Self Esteem,Spirituality",Out of Network
10+ Years,Alliant International University,Diane Lass,"Psychologist,, ,PhD",,"Relationship Issues,Domestic Violence,Life Coaching","Aetna,Blue Shield,Cigna,Health Net,MHN,Magellan Behavioral Health,PPO's,TRICARE,Out of Network"
,,The Center for Family Unity,"LMFT,RPT-S,, ,Marriage & Family Therapist",,"Child or Adolescent,Women's Issues,Family Conflict","Aetna,Blue Shield,Cigna,Concern EAP,TRICARE,TriWest,Out of Network"
10+ Years,University of Minnesota Medical School,Kai Macdonald,"MD,, ,Psychiatrist",1997,"Depression,Addiction,Anxiety",
5 Years,University of San Diego,Andrea S Knox,"LMFT,MA,, ,Marriage & Family Therapist",2010,"Relationship Issues,Pregnancy, Prenatal, Postpartum,Trauma and PTSD","Cigna,Out of Network"
,,Janet R. Miller,"Marriage & Family Therapist Intern, ,MFTI,PCCI,, ",,"Anxiety,Depression,Codependency",Optum TERM
8 Years,Alliant International University,Naomi Midura,"PsyD,LMFT,, ,Marriage & Family Therapist",2015,"Relationship Issues,Depression,Family Conflict",
8 Years,National University,Shawna Bethel,"LMFT,, ,Marriage & Family Therapist",2002,"Personality Disorders,Behavioral Issues,Relationship Issues","Aetna,Blue Shield,Cigna,MHN,Magellan Behavioral Health,Multiplan,Optum,PacifiCare,PsychCare,TRICARE,TriWest,UMR,UnitedHealthcare,VA Choice,ValueOptions,Out of Network"
,,New Life Counseling Center,"LMFT,, ,Marriage & Family Therapist",,"Depression,Anxiety,Relationship Issues","Aetna,Anthem,Blue Cross,Blue Shield,Cigna,Horizon Healthcare,Magellan Behavioral Health,MediCal,Medicare,Optum,TRICARE,TriWest,United Health Care"
5 Years,University of San Diego,Jennifer G. Whetstone,"MFT,MA,, ,Marriage & Family Therapist",2010,"Mood Disorders,Relationship Issues,Self Esteem","Cigna,Out of Network PPO,TriWest,Victims of Crime, VAP CalVCP,Out of Network"
20+ Years,California School of Professional Psychology,David A. Boucher,"Psychologist,, ,PhD",1993,"Relationship Issues,Depression,Anxiety","APS Healthcare,Aetna,Anthem,Beech Street,BlueCross and BlueShield,Corphealth,Coventry,Empire BlueCross,First Health,Health Net,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Medicare,Multiplan,Optum,PacifiCare,Schaller Anderson,TRICARE,TriWest,UnitedHealthcare"
15+ Years,Wayne State University-Michigan State,Luisa B Fijman,"MD,, ,Psychiatrist",1989,"ADHD,Depression,Bipolar Disorder","Aetna,Anthem,Blue Cross,BlueCross and BlueShield,GEHA,TRICARE,TriWest,Out of Network"
8 Years,Pepperdine University,Valerie Murphy,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Child or Adolescent,Anxiety,Life Coaching","Beacon,Blue Shield,CareFirst,Ceridian,Cigna,Health Net,Magellan Behavioral Health,Medi-Cal Health Net,Medi-Cal Optum,Medi-cal Care 1st/Beacon"
10 Years,California School of Professional Psychology,Gretchen Pound,"Psychologist,, ,PhD",2005,"Trauma and PTSD,Anxiety,Depression","Aetna,Blue Shield,Cigna,TRICARE,TriWest,Out of Network"
10 Years,Pacifica Graduate Institute,Wendy Salazar,"MFT,, ,Marriage & Family Therapist",2005,"Relationship Issues,Depression,Anxiety","Blue Shield,Cigna,ComPsych,EmblemHealth,Health Net,MHN,Magellan Behavioral Health,Military OneSource,Sand Creek,TRICARE (except Prime),TriWest,ValueOptions,WPS,Out of Network"
4 Years,California School of Professional Psychology,Total Context Therapy Group--Dr. Carla Payne,Psychologist,2009,"Narcissistic Personality,Depression,Trauma and PTSD","Any PPO Out of Network Insurance,BlueCross and BlueShield,Doctible,MHN,Magellan Behavioral Health"
< 1 Year,California School of Professional Psychology,Alison R. Coelho,"PsyD,Pre-Licensed Professional,, ",2016,"Trauma and PTSD,Racial Identity,Relationship Issues",
10 Years,Alliant International University,"Coaching Through Chaos / Dr. Colleen Mullen, LMFT","PsyD,LMFT,, ,Marriage & Family Therapist",2009,"Addiction,Depression,Relationship Issues","Aetna,All PPO Plans,Cigna,TRICARE,Out of Network"
20+ Years,California School of Professional Psychology,Robert Hirsch,"Psychologist,, ,PhD",1992,,"Aetna,BlueCross and BlueShield,Cigna,First Choice Health,First Health,Great-West Life,Health Net,Magellan Behavioral Health,PacifiCare,UnitedHealthcare,ValueOptions,WellPoint"
10+ Years,Pacifica Graduate Institute,Wendy Kathleen Belding,"LPCC,LMFT,MA,, ,Marriage & Family Therapist",2005,"Trauma and PTSD,Anxiety,Relationship Issues","TRICARE,TriWest,Out of Network"
10+ Years,National University,Arlene Saunders-Case,"MFT,, ,Marriage & Family Therapist",1996,"Relationship Issues,Anxiety,Life Coaching","Aetna,Anthem,Blue Cross,Out of Network"
8 Years,LA County + USC,WellPsyche Medical Group,"MD,, ,Psychiatrist",2009,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
20+ Years,"University of Waikato, Ph.D.",Dr. Gerald Monk,"MEd,PhD,LMFT,, ,Marriage & Family Therapist",1998,,
15+ Years,University of Southern California,San Diego Counseling And Psychological Services,Psychologist,,"Relationship Issues,Depression,Anxiety","Most PPOs will reimburse for my services,Out of Network"
3 Years,Accomplishment Coaching,Brian Conlon,"PCC, ,PMP",2013,"Life Coaching,Men's Issues,Weight Loss",
15+ Years,Trinity College of Graduate Studies,Kathy Penfield MFT,"MFT,, ,Marriage & Family Therapist",1999,"Anxiety,Relationship Issues","Also out of network PPO United Healthcare,Out of Network provider for Tri-West, Aetna,,Out of Network"
1 Year,Cal State Chico,Josh Hudson,"Marriage & Family Therapist Intern, ,IMF",2015,"Relationship Issues,Men's Issues,Domestic Violence",
30+ Years,LA JOLLA UNIVERSITY,Carol L Pierce,"PhD,MFT,, ,Marriage & Family Therapist",1991,"Depression,Coping Skills,Anxiety","ANY OTHERS OF WHICH I'M ON THEIR PLANELS,Aetna,Behavioral Health Systems,BlueCross and BlueShield,CDPHP,ChoiceCare,Cigna,ComPsych,GEHA,Health Net,Holman Group,MHN,Magellan Behavioral Health,Optum,PHCS,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
4 Years,National University,Matthew Bruhin & Associates,"CAS,PhD,LMFT,, ,Marriage & Family Therapist",2006,"Addiction,Depression,Relationship Issues","Aetna,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,Humana,TRICARE,TriWest,WellCare,Out of Network"
20+ Years,California School of Professional Psychology,Denise Zimmerman,Psychologist,1987,,
20+ Years,California School of Professional Psychology,Jerry Madoff,Psychologist,1980,"Relationship Issues,Depression,Child or Adolescent",
6 Years,LA County + USC,Randall Bailey,"MD,, ,Psychiatrist",2011,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint"
20+ Years,United States International University,Gina M Simmons,"PhD,, ,Marriage & Family Therapist",1991,"Anger Management,Career Counseling,Mood Disorders","Aetna,Anthem,BlueCross and BlueShield,Cigna,Coventry,First Choice Health,First Health,PHCS,TRICARE,UnitedHealthcare,Out of Network"
20+ Years,University of Wisconsin - Milwaukee,Babbi J Winegarden,"Psychologist,MHPE,, ,PhD",1994,"Relationship Issues,Stress,Women's Issues","Medicare,Out of Network"
7 Years,"University of Queensland, Australia",Maria Cecille Ahrens,"LCSW,Clinical Social Work/Therapist,CEAP,, ",1998,"Trauma and PTSD,Self Esteem,Relationship Issues","Aetna,Anthem,Ceridian,Cigna,Military OneSource,TRICARE,TriWest,ValueOptions,WellPoint,Out of Network"
20+ Years,,MaryLou Macilvaine,"Psychologist,, ,PhD",,"Anxiety,Depression,Relationship Issues","Anthem,BlueCross and BlueShield,TRICARE"
,University of Southern California,Somi P. Han,"LMFT,, ,Marriage & Family Therapist",2001,"Depression,Anxiety,Relationship Issues","Anthem EAP,Out of Network"
10 Years,University of Texas Southwestern Medical Center,Alessandra Wall,"Psychologist,, ,PhD",2004,"Anxiety,Life Coaching,Weight Loss","Aetna,Anthem,Out of Network"
7 Years,National University,Affirmative Counseling and Therapy,"LPCC,LMFT,, ,Marriage & Family Therapist",2006,"Anxiety,Depression,Relationship Issues",Out of Network
